Eatery_Id,Eatery_Name,City,Country_Code,Cuisines,Price_Range,Average_Cost_For_Two,Online_Delivery,Deliverying_Available,Table_Booking_Available,Aggregate_Rating,Rating_Text,Votes,Currency
312157,Spicy Eleven,New Delhi,1,South Indian,2,500,0,0,0,3.1,Average,15,Rs.
312157,Spicy Eleven,New Delhi,1,Chinese,2,500,0,0,0,3.1,Average,15,Rs.
308574,Frontier,New Delhi,1,Bakery,1,200,0,0,0,3.2,Average,10,Rs.
302490,Vaishno Punjabi Dhaba,New Delhi,1,North Indian,1,400,0,0,0,3.0,Average,12,Rs.
6117,Breakfast Corner,New Delhi,1,North Indian,1,150,0,0,0,3.1,Average,6,Rs.
6123,Prince Cafe,New Delhi,1,South Indian,1,300,0,0,0,2.9,Average,6,Rs.
6123,Prince Cafe,New Delhi,1,Chinese,1,300,0,0,0,2.9,Average,6,Rs.
6123,Prince Cafe,New Delhi,1,Fast Food,1,300,0,0,0,2.9,Average,6,Rs.
301675,Lush,New Delhi,1,Afghani,2,500,0,0,0,0.0,Not rated,3,Rs.
301675,Lush,New Delhi,1,North Indian,2,500,0,0,0,0.0,Not rated,3,Rs.
301675,Lush,New Delhi,1,Pakistani,2,500,0,0,0,0.0,Not rated,3,Rs.
301675,Lush,New Delhi,1,Arabian,2,500,0,0,0,0.0,Not rated,3,Rs.
2936,Malabar Foods,New Delhi,1,North Indian,2,500,1,0,0,2.7,Average,49,Rs.
2936,Malabar Foods,New Delhi,1,Fast Food,2,500,1,0,0,2.7,Average,49,Rs.
308559,24x7,New Delhi,1,North Indian,3,1200,0,0,1,3.1,Average,18,Rs.
308559,24x7,New Delhi,1,Continental,3,1200,0,0,1,3.1,Average,18,Rs.
308559,24x7,New Delhi,1,Chinese,3,1200,0,0,1,3.1,Average,18,Rs.
18208914,Sir John Bakery Cafe,New Delhi,1,Bakery,2,500,1,0,0,3.4,Average,27,Rs.
18208914,Sir John Bakery Cafe,New Delhi,1,Desserts,2,500,1,0,0,3.4,Average,27,Rs.
18208914,Sir John Bakery Cafe,New Delhi,1,Fast Food,2,500,1,0,0,3.4,Average,27,Rs.
3851,Sethi's Kabab & Curries,New Delhi,1,North Indian,2,500,0,0,0,3.1,Average,22,Rs.
3854,New Hyderabadi Biryani House,New Delhi,1,North Indian,2,500,1,0,0,2.5,Average,25,Rs.
3854,New Hyderabadi Biryani House,New Delhi,1,Biryani,2,500,1,0,0,2.5,Average,25,Rs.
